"items","support"
"1","{INCUMBENT=1,WINNER=1,VOTESLEVEL=Mid-High}",0.232683982683983
"2","{WINNER=1,VOTESLEVEL=Mid-High}",0.27020202020202
"3","{INCUMBENT=1,VOTESLEVEL=Mid-High}",0.238292011019284
"4","{INCUMBENT=1,WINNER=1,CANDTOTALLEVEL=Mid-Low}",0.260166601075692
"5","{WINNER=1,CANDTOTALLEVEL=Mid-Low}",0.297651843106389
"6","{INCUMBENT=1,CANDTOTALLEVEL=Mid-Low}",0.264397218942673
"7","{INCUMBENT=0,WINNER=0,VOTESLEVEL=Mid-Low}",0.212350780532599
"8","{INCUMBENT=0,WINNER=0,CANDTOTALLEVEL=Very Low}",0.315328610783156
"9","{INCUMBENT=0,WINNER=0}",0.384625475534566
"10","{WINNER=0,CANDTOTALLEVEL=Very Low}",0.317165158074249
"11","{WINNER=0,VOTESLEVEL=Mid-Low}",0.228518955791683
"12","{PARTY=R,VOTESLEVEL=Mid-Low}",0.212875508330054
"13","{INCUMBENT=0,VOTESLEVEL=Mid-Low}",0.249212908303817
"14","{PARTY=D,VOTESLEVEL=Mid-Low}",0.212613144431326
"15","{CANDTOTALLEVEL=Very Low,VOTESLEVEL=Mid-Low}",0.205299750754296
"16","{PARTY=R,CANDTOTALLEVEL=Very Low}",0.206709956709957
"17","{INCUMBENT=0,CANDTOTALLEVEL=Very Low}",0.329004329004329
"18","{PARTY=D,INCUMBENT=1,WINNER=1}",0.231634527089073
"19","{PARTY=D,WINNER=1}",0.260724124360488
"20","{PARTY=D,INCUMBENT=1}",0.244555949101404
"21","{PARTY=R,INCUMBENT=0}",0.232880755608028
"22","{PARTY=R,INCUMBENT=1,WINNER=1}",0.276433162796799
"23","{PARTY=R,WINNER=1}",0.329955398137216
"24","{PARTY=R,INCUMBENT=1}",0.287682014954742
"25","{INCUMBENT=1,WINNER=1}",0.508231667322576
"26","{WINNER=1}",0.591204250295159
"27","{INCUMBENT=1}",0.532401941492851
"28","{PARTY=R}",0.520562770562771
"29","{INCUMBENT=0}",0.467598058507149
"30","{PARTY=D}",0.444149285058376
"31","{CANDTOTALLEVEL=Very Low}",0.433064410337138
"32","{VOTESLEVEL=Mid-Low}",0.426931654204381
"33","{WINNER=0}",0.408795749704841
"34","{CANDTOTALLEVEL=Mid-Low}",0.345303686212777
"35","{VOTESLEVEL=Mid-High}",0.310737242555424
