"OPENSECRETS.INDUSTRY","YEAR","STATE","FIRST","LAST","DISTRICT","CANDIDATE","PARTY","AMOUNT","INDUSTRYPERCENT","CANDTOTAL","INCUMBENT","VOTES","PERCENT","PRIMARY.INDUSTRY","SECONDARY.INDUSTRY1","SECONDARY.INDUSTRY2","SECONDARY.INDUSTRY3","WINNER","indrank","TotalRaceFunds","RaceFundPerc","X","Sector","AdjClose","Group","YrPercentChange","RelYear"
"Electric Utilities",2004,"AL","CARL","COLE","4","CARL ALLEN COLE III","D",500,0.0271739130435,18400,0,64278,0.2514,"Utilities","","","",0,5,408435,0.0450500079572025,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Electric Utilities",2004,"AL","ROBERT","ADERHOLT","4","ROBERT B ADERHOLT","R",20607,0.0528337200508,390035,1,191110,0.7473,"Utilities","","","",1,6,408435,0.954949992042798,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Mining",2004,"AL","ROBERT","ADERHOLT","4","ROBERT B ADERHOLT","R",12000,0.0307664696758,390035,1,191110,0.7473,"Materials","","","",1,8,408435,0.954949992042798,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Crop Production & Basic Processing",2004,"AL","ROBERT","ADERHOLT","4","ROBERT B ADERHOLT","R",18689,0.0479162126476,390035,1,191110,0.7473,"Consumer Staples","","","",1,7,408435,0.954949992042798,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Telecom Services & Equipment",2004,"AL","ROBERT","ADERHOLT","4","ROBERT B ADERHOLT","R",11500,0.0294845334393,390035,1,191110,0.7473,"Telecommunication Services","","","",1,9,408435,0.954949992042798,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Agricultural Services/Products",2004,"AL","BUD","CRAMER","5","BUD CRAMER","D",24600,0.0511302699512,481124,1,200999,0.7297,"Consumer Staples","","","",1,6,489103,0.983686462769601,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Electronics Mfg & Services",2004,"AL","BUD","CRAMER","5","BUD CRAMER","D",18750,0.0389712423409,481124,1,200999,0.7297,"Information Technology","Consumer Discretionary","","",1,7,489103,0.983686462769601,17,"Information Technology",1575.122081,"Values0506b",17.5743828802466,"2004"
"Computers/Internet",2004,"AL","BUD","CRAMER","5","BUD CRAMER","D",62700,0.1303198343878,481124,1,200999,0.7297,"Consumer Discretionary","Information Technology","","",1,4,489103,0.983686462769601,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"TV/Movies/Music",2004,"AL","GERALD","WALLACE","5","GERALD WALLACE","R",229,0.0287003383883,7979,0,74145,0.2692,"Consumer Discretionary","","","",0,4,489103,0.0163135372303993,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Oil & Gas",2004,"AL","BUD","CRAMER","5","BUD CRAMER","D",17752,0.0368969330152,481124,1,200999,0.7297,"Energy","","","",1,9,489103,0.983686462769601,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Electric Utilities",2004,"AL","BUD","CRAMER","5","BUD CRAMER","D",18500,0.0384516257763,481124,1,200999,0.7297,"Utilities","","","",1,8,489103,0.983686462769601,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Agricultural Services/Products",2004,"AL","ARTUR","DAVIS","7","ARTUR DAVIS","D",15272,0.0228989549128,666930,1,183408,0.7497,"Consumer Staples","","","",1,8,666930,1,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Electric Utilities",2004,"AL","ARTUR","DAVIS","7","ARTUR DAVIS","D",18950,0.0284137765583,666930,1,183408,0.7497,"Utilities","","","",1,4,666930,1,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Forestry & Forest Products",2004,"AL","ARTUR","DAVIS","7","ARTUR DAVIS","D",17586,0.0263685844092,666930,1,183408,0.7497,"Materials","","","",1,5,666930,1,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Retail Sales",2004,"AL","ARTUR","DAVIS","7","ARTUR DAVIS","D",17250,0.0258647834106,666930,1,183408,0.7497,"Consumer Discretionary","","","",1,6,666930,1,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Construction Services",2004,"AL","ARTUR","DAVIS","7","ARTUR DAVIS","D",15050,0.0225660863959,666930,1,183408,0.7497,"Industrials","","","",1,9,666930,1,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Hospitals/Nursing Homes",2004,"AL","ARTUR","DAVIS","7","ARTUR DAVIS","D",15400,0.0230908791028,666930,1,183408,0.7497,"Health Care","","","",1,7,666930,1,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Electric Utilities",2004,"AR","MARION","BERRY","1","MARION BERRY","D",30477,0.0447023000189,681777,1,162388,0.6657,"Utilities","","","",1,6,684277,0.996346508796876,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Automotive",2004,"AR","MARION","BERRY","1","MARION BERRY","D",37700,0.0552966732524,681777,1,162388,0.6657,"Consumer Discretionary","","","",1,5,684277,0.996346508796876,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Air Transport",2004,"AR","MARION","BERRY","1","MARION BERRY","D",14300,0.0209746001992,681777,1,162388,0.6657,"Industrials","","","",1,7,684277,0.996346508796876,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Food Processing & Sales",2004,"AR","MARVIN","PARKS","2","MARVIN PARKS","R",19450,0.064161773438,303140,0,115655,0.4183,"Consumer Staples","","","",0,6,764955,0.396284748776072,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Automotive",2004,"AR","VIC","SNYDER","2","VIC SNYDER","D",43550,0.0943018308197,461815,1,160834,0.5817,"Consumer Discretionary","","","",1,3,764955,0.603715251223928,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Crop Production & Basic Processing",2004,"AR","VIC","SNYDER","2","VIC SNYDER","D",13050,0.0282580687072,461815,1,160834,0.5817,"Consumer Staples","","","",1,6,764955,0.603715251223928,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Hospitals/Nursing Homes",2004,"AR","MARVIN","PARKS","2","MARVIN PARKS","R",24050,0.0793362802665,303140,0,115655,0.4183,"Health Care","","","",0,4,764955,0.396284748776072,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Construction Services",2004,"AR","MARVIN","PARKS","2","MARVIN PARKS","R",6800,0.0224318796596,303140,0,115655,0.4183,"Industrials","","","",0,9,764955,0.396284748776072,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Telecom Services & Equipment",2004,"AR","MARVIN","PARKS","2","MARVIN PARKS","R",7750,0.0255657452002,303140,0,115655,0.4183,"Telecommunication Services","","","",0,8,764955,0.396284748776072,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Misc Business",2004,"AR","MARVIN","PARKS","2","MARVIN PARKS","R",14300,0.0471729234017,303140,0,115655,0.4183,"Materials","Consumer Discretionary","Consumer Staples","Industrials",0,7,764955,0.396284748776072,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Air Transport",2004,"AR","VIC","SNYDER","2","VIC SNYDER","D",13500,0.0292324848695,461815,1,160834,0.5817,"Industrials","","","",1,5,764955,0.603715251223928,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Electric Utilities",2004,"AR","VIC","SNYDER","2","VIC SNYDER","D",12750,0.0276084579323,461815,1,160834,0.5817,"Utilities","","","",1,7,764955,0.603715251223928,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Business Services",2004,"AR","MARVIN","PARKS","2","MARVIN PARKS","R",23315,0.0769116579798,303140,0,115655,0.4183,"Consumer Discretionary","Industrials","","",0,5,764955,0.396284748776072,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Electric Utilities",2004,"AR","JOHN","BOOZMAN","3","JOHN BOOZMAN","R",13250,0.0373635174156,354624,1,160629,0.5932,"Utilities","","","",1,8,527739,0.671968529898302,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Building Materials & Equipment",2004,"AR","JOHN","BOOZMAN","3","JOHN BOOZMAN","R",25170,0.0709765836492,354624,1,160629,0.5932,"Materials","Industrials","","",1,7,527739,0.671968529898302,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Misc Services",2004,"AR","JAN","JUDY","3","JAN JUDY","D",2000,0.0116539929493,171615,0,103158,0.3809,"Industrials","","","",0,8,527739,0.325189156003252,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Telephone Utilities",2004,"AR","JOHN","BOOZMAN","3","JOHN BOOZMAN","R",10000,0.0281988810684,354624,1,160629,0.5932,"Telecommunication Services","","","",1,10,527739,0.671968529898302,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Business Services",2004,"AR","JAN","JUDY","3","JAN JUDY","D",8620,0.0502287096117,171615,0,103158,0.3809,"Consumer Discretionary","Industrials","","",0,3,527739,0.325189156003252,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Misc Business",2004,"AR","JAN","JUDY","3","JAN JUDY","D",3500,0.0203944876613,171615,0,103158,0.3809,"Materials","Consumer Discretionary","Consumer Staples","Industrials",0,7,527739,0.325189156003252,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Misc Communications/Electronics",2004,"AR","JAN","JUDY","3","JAN JUDY","D",4000,0.0233079858987,171615,0,103158,0.3809,"Telecommunication Services","Consumer Discretionary","","",0,6,527739,0.325189156003252,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Air Transport",2004,"AR","JOHN","BOOZMAN","3","JOHN BOOZMAN","R",38925,0.1097641445587,354624,1,160629,0.5932,"Industrials","","","",1,6,527739,0.671968529898302,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Oil & Gas",2004,"AR","JOHN","BOOZMAN","3","JOHN BOOZMAN","R",10050,0.0283398754737,354624,1,160629,0.5932,"Energy","","","",1,9,527739,0.671968529898302,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Crop Production & Basic Processing",2004,"AR","JOHN","BOOZMAN","3","JOHN BOOZMAN","R",41226,0.1162527070925,354624,1,160629,0.5932,"Consumer Staples","","","",1,5,527739,0.671968529898302,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Misc Manufacturing & Distributing",2004,"AR","JOHN","BOOZMAN","3","JOHN BOOZMAN","R",43250,0.1219601606209,354624,1,160629,0.5932,"Consumer Discretionary","Materials","Consumer Staples","Industrials",1,3,527739,0.671968529898302,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Construction Services",2004,"AZ","RANDY","CAMACHO","2","RANDY CAMACHO","D",250,0.00349406009783,71550,0,107406,0.3846,"Industrials","","","",0,5,485262,0.147446121888794,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Oil & Gas",2004,"AZ","TRENT","FRANKS","2","TRENT FRANKS","R",21000,0.05075994895,413712,1,165260,0.5917,"Energy","","","",1,6,485262,0.852553878111206,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Electric Utilities",2004,"AZ","TRENT","FRANKS","2","TRENT FRANKS","R",19000,0.0459256680976,413712,1,165260,0.5917,"Utilities","","","",1,7,485262,0.852553878111206,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Mining",2004,"AZ","TRENT","FRANKS","2","TRENT FRANKS","R",11000,0.0265885446881,413712,1,165260,0.5917,"Materials","","","",1,9,485262,0.852553878111206,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Automotive",2004,"AZ","TRENT","FRANKS","2","TRENT FRANKS","R",57050,0.1378978613142,413712,1,165260,0.5917,"Consumer Discretionary","","","",1,3,485262,0.852553878111206,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Crop Production & Basic Processing",2004,"AZ","RANDY","CAMACHO","2","RANDY CAMACHO","D",1850,0.02585604472394,71550,0,107406,0.3846,"Consumer Staples","","","",0,4,485262,0.147446121888794,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Defense Aerospace",2004,"AZ","TRENT","FRANKS","2","TRENT FRANKS","R",32000,0.0773484936381,413712,1,165260,0.5917,"Industrials","","","",1,5,485262,0.852553878111206,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Business Services",2004,"AZ","RANDY","CAMACHO","2","RANDY CAMACHO","D",4500,0.06289308176097,71550,0,107406,0.3846,"Consumer Discretionary","Industrials","","",0,2,485262,0.147446121888794,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Crop Production & Basic Processing",2004,"AZ","TRENT","FRANKS","2","TRENT FRANKS","R",35763,0.0864441930619,413712,1,165260,0.5917,"Consumer Staples","","","",1,4,485262,0.852553878111206,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Oil & Gas",2004,"AZ","JOHN","SHADEGG","3","JOHN SHADEGG","R",23500,0.0410391461063,572624,1,181012,0.801,"Energy","","","",1,7,572624,1,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Telephone Utilities",2004,"AZ","JOHN","SHADEGG","3","JOHN SHADEGG","R",13000,0.0227025063567,572624,1,181012,0.801,"Telecommunication Services","","","",1,8,572624,1,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Electric Utilities",2004,"AZ","JOHN","SHADEGG","3","JOHN SHADEGG","R",33200,0.0579787085417,572624,1,181012,0.801,"Utilities","","","",1,6,572624,1,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Health Services/HMOs",2004,"AZ","JOHN","SHADEGG","3","JOHN SHADEGG","R",45940,0.0802271647714,572624,1,181012,0.801,"Health Care","","","",1,5,572624,1,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Beer, Wine & Liquor",2004,"AZ","ED","PASTOR","4","ED PASTOR","D",37500,0.0676564352095,554271,1,77150,0.7012,"Consumer Staples","","","",1,5,554271,1,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Business Services",2004,"AZ","ED","PASTOR","4","ED PASTOR","D",42916,0.0774278286254,554271,1,77150,0.7012,"Consumer Discretionary","Industrials","","",1,4,554271,1,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Air Transport",2004,"AZ","ED","PASTOR","4","ED PASTOR","D",74400,0.1342303674556,554271,1,77150,0.7012,"Industrials","","","",1,3,554271,1,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Electric Utilities",2004,"AZ","ED","PASTOR","4","ED PASTOR","D",28450,0.0513286821789,554271,1,77150,0.7012,"Utilities","","","",1,6,554271,1,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Electric Utilities",2004,"AZ","J","HAYWORTH","5","J D HAYWORTH","R",21000,0.0275075776827,763426,1,159455,0.595,"Utilities","","","",1,7,763426,1,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Air Transport",2004,"AZ","J","HAYWORTH","5","J D HAYWORTH","R",47580,0.0623243117211,763426,1,159455,0.595,"Industrials","","","",1,5,763426,1,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Oil & Gas",2004,"AZ","J","HAYWORTH","5","J D HAYWORTH","R",19450,0.0254772564728,763426,1,159455,0.595,"Energy","","","",1,8,763426,1,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Health Services/HMOs",2004,"AZ","J","HAYWORTH","5","J D HAYWORTH","R",42080,0.0551199461375,763426,1,159455,0.595,"Health Care","","","",1,6,763426,1,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Air Transport",2004,"AZ","JEFF","FLAKE","6","JEFF FLAKE","R",32200,0.0830556214727,387692,1,202882,0.7938,"Industrials","","","",1,5,387692,1,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Crop Production & Basic Processing",2004,"AZ","JEFF","FLAKE","6","JEFF FLAKE","R",26250,0.0677083870702,387692,1,202882,0.7938,"Consumer Staples","","","",1,6,387692,1,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Oil & Gas",2004,"AZ","JEFF","FLAKE","6","JEFF FLAKE","R",9750,0.0251488294832,387692,1,202882,0.7938,"Energy","","","",1,7,387692,1,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Electric Utilities",2004,"AZ","JEFF","FLAKE","6","JEFF FLAKE","R",6250,0.0161210445405,387692,1,202882,0.7938,"Utilities","","","",1,8,387692,1,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Crop Production & Basic Processing",2004,"AZ","RAUL","GRIJALVA","7","RAUL M GRIJALVA","D",10500,0.0248342608733,422803,1,108868,0.6206,"Consumer Staples","","","",1,5,422803,1,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Electric Utilities",2004,"AZ","RAUL","GRIJALVA","7","RAUL M GRIJALVA","D",10250,0.0242429689477,422803,1,108868,0.6206,"Utilities","","","",1,6,422803,1,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Construction Services",2004,"AZ","RAUL","GRIJALVA","7","RAUL M GRIJALVA","D",8350,0.0197491503135,422803,1,108868,0.6206,"Industrials","","","",1,7,422803,1,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Business Services",2004,"AZ","RAUL","GRIJALVA","7","RAUL M GRIJALVA","D",33110,0.0783107026204,422803,1,108868,0.6206,"Consumer Discretionary","Industrials","","",1,3,422803,1,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Beer, Wine & Liquor",2004,"AZ","JIM","KOLBE","8","JIM KOLBE","R",21509,0.0345120829997,623231,1,183363,0.6036,"Consumer Staples","","","",1,7,671381,0.92828215275678,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Printing & Publishing",2004,"AZ","EVA","BACAL","8","EVA K BACAL","D",1250,0.0259605399792,48150,0,109963,0.362,"Consumer Discretionary","Industrials","","",0,5,671381,0.0717178472432196,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Oil & Gas",2004,"AZ","JIM","KOLBE","8","JIM KOLBE","R",20149,0.0323299065675,623231,1,183363,0.6036,"Energy","","","",1,8,671381,0.92828215275678,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Defense Aerospace",2004,"AZ","JIM","KOLBE","8","JIM KOLBE","R",39799,0.0638591469295,623231,1,183363,0.6036,"Industrials","","","",1,5,671381,0.92828215275678,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Crop Production & Basic Processing",2004,"AZ","EVA","BACAL","8","EVA K BACAL","D",500,0.0103842159917,48150,0,109963,0.362,"Consumer Staples","","","",0,6,671381,0.0717178472432196,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Misc Services",2004,"AZ","EVA","BACAL","8","EVA K BACAL","D",2000,0.0415368639668,48150,0,109963,0.362,"Industrials","","","",0,4,671381,0.0717178472432196,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Electric Utilities",2004,"AZ","JIM","KOLBE","8","JIM KOLBE","R",23500,0.0377067251148,623231,1,183363,0.6036,"Utilities","","","",1,6,671381,0.92828215275678,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Hospitals/Nursing Homes",2004,"AZ","EVA","BACAL","8","EVA K BACAL","D",200,0.00415368639668,48150,0,109963,0.362,"Health Care","","","",0,8,671381,0.0717178472432196,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Casinos/Gambling",2004,"CA","MIKE","THOMPSON","1","MIKE THOMPSON","D",46003,0.0780591683847,589335,1,189366,0.6692,"Consumer Discretionary","","","",1,5,596185,0.988510277849996,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Air Transport",2004,"CA","MIKE","THOMPSON","1","MIKE THOMPSON","D",19749,0.0335106518364,589335,1,189366,0.6692,"Industrials","","","",1,6,596185,0.988510277849996,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Forestry & Forest Products",2004,"CA","MIKE","THOMPSON","1","MIKE THOMPSON","D",16120,0.0273528638211,589335,1,189366,0.6692,"Materials","","","",1,7,596185,0.988510277849996,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Air Transport",2004,"CA","ELLEN","TAUSCHER","10","ELLEN O TAUSCHER","D",59375,0.1233840584679,481221,1,182750,0.6571,"Industrials","","","",1,4,503221,0.956281633715604,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Computers/Internet",2004,"CA","ELLEN","TAUSCHER","10","ELLEN O TAUSCHER","D",44794,0.0930840507791,481221,1,182750,0.6571,"Consumer Discretionary","Information Technology","","",1,5,503221,0.956281633715604,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Oil & Gas",2004,"CA","ELLEN","TAUSCHER","10","ELLEN O TAUSCHER","D",14000,0.0290926622072,481221,1,182750,0.6571,"Energy","","","",1,7,503221,0.956281633715604,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
