OPENSECRETS.INDUSTRY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,AMOUNT,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,PRIMARY.INDUSTRY,SECONDARY.INDUSTRY1,SECONDARY.INDUSTRY2,SECONDARY.INDUSTRY3,WINNER,TotalRaceFunds,RaceFundPerc,CANDTOTALLEVEL,VOTESLEVEL,INDRANK,X,Sector,AdjClose,Group,YrPercentChange,RelYear
Automotive,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,66600,0.052821384,1260853,1,150411,0.612,Consumer Discretionary,,,,1,1482675,0.850390679,Mid-High,Mid-High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Environmental Svcs/Equipment,2004,AL,BILL,FULLER,3,BILL FULLER,D,1000,0.004508119,221822,0,95240,0.3875,Industrials,,,,0,1482675,0.149609321,Very Low,Mid-Low,6,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Oil & Gas,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,32750,0.025974479,1260853,1,150411,0.612,Energy,,,,1,1482675,0.850390679,Mid-High,Mid-High,9,13,Energy,1348.010537,Values0506b,0.628528397,2004
Mining,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,36000,0.028552099,1260853,1,150411,0.612,Materials,,,,1,1482675,0.850390679,Mid-High,Mid-High,8,18,Materials,994.347645,Values0506b,0.30380417,2004
Defense Aerospace,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,148249,0.117578338,1260853,1,150411,0.612,Industrials,,,,1,1482675,0.850390679,Mid-High,Mid-High,3,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Commercial Banks,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,146523,0.116209423,1260853,1,150411,0.612,Financials,,,,1,1482675,0.850390679,Mid-High,Mid-High,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Agricultural Services/Products,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,61750,0.048974781,1260853,1,150411,0.612,Consumer Staples,,,,1,1482675,0.850390679,Mid-High,Mid-High,6,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Electric Utilities,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,52425,0.041578995,1260853,1,150411,0.612,Utilities,,,,1,1482675,0.850390679,Mid-High,Mid-High,7,20,Utilities,846.831177,Values0506b,0.387572063,2004
Printing & Publishing,2004,AL,BILL,FULLER,3,BILL FULLER,D,2750,0.012397328,221822,0,95240,0.3875,Consumer Discretionary,Industrials,,,0,1482675,0.149609321,Very Low,Mid-Low,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Crop Production & Basic Processing,2004,AL,BILL,FULLER,3,BILL FULLER,D,1000,0.004508119,221822,0,95240,0.3875,Consumer Staples,,,,0,1482675,0.149609321,Very Low,Mid-Low,7,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Construction Services,2004,AL,CARL,COLE,4,CARL ALLEN COLE III,D,1000,0.054347826,18400,0,64278,0.2514,Industrials,,,,0,408435,0.045050008,Very Low,Very Low,4,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Air Transport,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,136828,0.350809543,390035,1,191110,0.7473,Industrials,,,,1,408435,0.954949992,Very Low,Mid-High,1,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Misc Business,2004,AL,CARL,COLE,4,CARL ALLEN COLE III,D,2000,0.108695652,18400,0,64278,0.2514,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,408435,0.045050008,Very Low,Very Low,3,18,Materials,994.347645,Values0506b,0.30380417,2004
Electric Utilities,2004,AL,CARL,COLE,4,CARL ALLEN COLE III,D,500,0.027173913,18400,0,64278,0.2514,Utilities,,,,0,408435,0.045050008,Very Low,Very Low,5,20,Utilities,846.831177,Values0506b,0.387572063,2004
Electric Utilities,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,20607,0.05283372,390035,1,191110,0.7473,Utilities,,,,1,408435,0.954949992,Very Low,Mid-High,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Mining,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,12000,0.03076647,390035,1,191110,0.7473,Materials,,,,1,408435,0.954949992,Very Low,Mid-High,8,18,Materials,994.347645,Values0506b,0.30380417,2004
Crop Production & Basic Processing,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,18689,0.047916213,390035,1,191110,0.7473,Consumer Staples,,,,1,408435,0.954949992,Very Low,Mid-High,7,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Telecom Services & Equipment,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,11500,0.029484533,390035,1,191110,0.7473,Telecommunication Services,,,,1,408435,0.954949992,Very Low,Mid-High,9,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Automotive,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,56480,0.144807517,390035,1,191110,0.7473,Consumer Discretionary,,,,1,408435,0.954949992,Very Low,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Commercial Banks,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,25012,0.064127578,390035,1,191110,0.7473,Financials,,,,1,408435,0.954949992,Very Low,Mid-High,5,14,Financials,5555.739999,Values0506b,0.351064506,2004
Agricultural Services/Products,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,24600,0.05113027,481124,1,200999,0.7297,Consumer Staples,,,,1,489103,0.983686463,Mid-Low,High,6,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Electronics Mfg & Services,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,18750,0.038971242,481124,1,200999,0.7297,Information Technology,Consumer Discretionary,,,1,489103,0.983686463,Mid-Low,High,7,17,Information Technology,1575.122081,Values0506b,0.175743829,2004
Computers/Internet,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,62700,0.130319834,481124,1,200999,0.7297,Consumer Discretionary,Information Technology,,,1,489103,0.983686463,Mid-Low,High,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
TV/Movies/Music,2004,AL,GERALD,WALLACE,5,GERALD WALLACE,R,229,0.028700338,7979,0,74145,0.2692,Consumer Discretionary,,,,0,489103,0.016313537,Very Low,Mid-Low,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Air Transport,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,149900,0.311562092,481124,1,200999,0.7297,Industrials,,,,1,489103,0.983686463,Mid-Low,High,1,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Misc Finance,2004,AL,GERALD,WALLACE,5,GERALD WALLACE,R,250,0.031332247,7979,0,74145,0.2692,Financials,,,,0,489103,0.016313537,Very Low,Mid-Low,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Oil & Gas,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,17752,0.036896933,481124,1,200999,0.7297,Energy,,,,1,489103,0.983686463,Mid-Low,High,9,13,Energy,1348.010537,Values0506b,0.628528397,2004
Electric Utilities,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,18500,0.038451626,481124,1,200999,0.7297,Utilities,,,,1,489103,0.983686463,Mid-Low,High,8,20,Utilities,846.831177,Values0506b,0.387572063,2004
Accountants,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,32500,0.067550153,481124,1,200999,0.7297,Financials,,,,1,489103,0.983686463,Mid-Low,High,5,14,Financials,5555.739999,Values0506b,0.351064506,2004
Agricultural Services/Products,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,15272,0.022898955,666930,1,183408,0.7497,Consumer Staples,,,,1,666930,1,Mid-Low,Mid-High,8,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Electric Utilities,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,18950,0.028413777,666930,1,183408,0.7497,Utilities,,,,1,666930,1,Mid-Low,Mid-High,4,20,Utilities,846.831177,Values0506b,0.387572063,2004
Forestry & Forest Products,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,17586,0.026368584,666930,1,183408,0.7497,Materials,,,,1,666930,1,Mid-Low,Mid-High,5,18,Materials,994.347645,Values0506b,0.30380417,2004
Retail Sales,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,17250,0.025864783,666930,1,183408,0.7497,Consumer Discretionary,,,,1,666930,1,Mid-Low,Mid-High,6,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Construction Services,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,15050,0.022566086,666930,1,183408,0.7497,Industrials,,,,1,666930,1,Mid-Low,Mid-High,9,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Hospitals/Nursing Homes,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,15400,0.023090879,666930,1,183408,0.7497,Health Care,,,,1,666930,1,Mid-Low,Mid-High,7,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Accountants,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,167088,0.250533039,666930,1,183408,0.7497,Financials,,,,1,666930,1,Mid-Low,Mid-High,2,14,Financials,5555.739999,Values0506b,0.351064506,2004
Crop Production & Basic Processing,2004,AR,VERNON,HUMPHREY,1,VERNON WOODROW HUMPHREY,R,500,0.2,2500,0,81556,0.3343,Consumer Staples,,,,0,684277,0.003653491,Very Low,Mid-Low,2,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Commercial Banks,2004,AR,MARION,BERRY,1,MARION BERRY,D,46450,0.068130782,681777,1,162388,0.6657,Financials,,,,1,684277,0.996346509,Mid-Low,Mid-High,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Electric Utilities,2004,AR,MARION,BERRY,1,MARION BERRY,D,30477,0.0447023,681777,1,162388,0.6657,Utilities,,,,1,684277,0.996346509,Mid-Low,Mid-High,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Automotive,2004,AR,MARION,BERRY,1,MARION BERRY,D,37700,0.055296673,681777,1,162388,0.6657,Consumer Discretionary,,,,1,684277,0.996346509,Mid-Low,Mid-High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Air Transport,2004,AR,MARION,BERRY,1,MARION BERRY,D,14300,0.0209746,681777,1,162388,0.6657,Industrials,,,,1,684277,0.996346509,Mid-Low,Mid-High,7,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Agricultural Services/Products,2004,AR,MARION,BERRY,1,MARION BERRY,D,213050,0.312492208,681777,1,162388,0.6657,Consumer Staples,,,,1,684277,0.996346509,Mid-Low,Mid-High,2,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Food Processing & Sales,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,19450,0.064161773,303140,0,115655,0.4183,Consumer Staples,,,,0,764955,0.396284749,Very Low,Mid-Low,6,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Automotive,2004,AR,VIC,SNYDER,2,VIC SNYDER,D,43550,0.094301831,461815,1,160834,0.5817,Consumer Discretionary,,,,1,764955,0.603715251,Mid-Low,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Commercial Banks,2004,AR,VIC,SNYDER,2,VIC SNYDER,D,24500,0.053051547,461815,1,160834,0.5817,Financials,,,,1,764955,0.603715251,Mid-Low,Mid-High,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Crop Production & Basic Processing,2004,AR,VIC,SNYDER,2,VIC SNYDER,D,13050,0.028258069,461815,1,160834,0.5817,Consumer Staples,,,,1,764955,0.603715251,Mid-Low,Mid-High,6,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Hospitals/Nursing Homes,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,24050,0.07933628,303140,0,115655,0.4183,Health Care,,,,0,764955,0.396284749,Very Low,Mid-Low,4,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Construction Services,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,6800,0.02243188,303140,0,115655,0.4183,Industrials,,,,0,764955,0.396284749,Very Low,Mid-Low,9,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Telecom Services & Equipment,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,7750,0.025565745,303140,0,115655,0.4183,Telecommunication Services,,,,0,764955,0.396284749,Very Low,Mid-Low,8,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Misc Business,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,14300,0.047172923,303140,0,115655,0.4183,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,764955,0.396284749,Very Low,Mid-Low,7,18,Materials,994.347645,Values0506b,0.30380417,2004
Air Transport,2004,AR,VIC,SNYDER,2,VIC SNYDER,D,13500,0.029232485,461815,1,160834,0.5817,Industrials,,,,1,764955,0.603715251,Mid-Low,Mid-High,5,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Electric Utilities,2004,AR,VIC,SNYDER,2,VIC SNYDER,D,12750,0.027608458,461815,1,160834,0.5817,Utilities,,,,1,764955,0.603715251,Mid-Low,Mid-High,7,20,Utilities,846.831177,Values0506b,0.387572063,2004
Business Services,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,23315,0.076911658,303140,0,115655,0.4183,Consumer Discretionary,Industrials,,,0,764955,0.396284749,Very Low,Mid-Low,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Commercial Banks,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,37850,0.124859801,303140,0,115655,0.4183,Financials,,,,0,764955,0.396284749,Very Low,Mid-Low,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Electric Utilities,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,13250,0.037363517,354624,1,160629,0.5932,Utilities,,,,1,527739,0.67196853,Very Low,Mid-High,8,20,Utilities,846.831177,Values0506b,0.387572063,2004
Building Materials & Equipment,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,25170,0.070976584,354624,1,160629,0.5932,Materials,Industrials,,,1,527739,0.67196853,Very Low,Mid-High,7,18,Materials,994.347645,Values0506b,0.30380417,2004
Misc Finance,2004,AR,JAN,JUDY,3,JAN JUDY,D,7200,0.041954375,171615,0,103158,0.3809,Financials,,,,0,527739,0.325189156,Very Low,Mid-Low,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Misc Services,2004,AR,JAN,JUDY,3,JAN JUDY,D,2000,0.011653993,171615,0,103158,0.3809,Industrials,,,,0,527739,0.325189156,Very Low,Mid-Low,8,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Telephone Utilities,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,10000,0.028198881,354624,1,160629,0.5932,Telecommunication Services,,,,1,527739,0.67196853,Very Low,Mid-High,10,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Commercial Banks,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,52573,0.148249977,354624,1,160629,0.5932,Financials,,,,1,527739,0.67196853,Very Low,Mid-High,2,14,Financials,5555.739999,Values0506b,0.351064506,2004
Business Services,2004,AR,JAN,JUDY,3,JAN JUDY,D,8620,0.05022871,171615,0,103158,0.3809,Consumer Discretionary,Industrials,,,0,527739,0.325189156,Very Low,Mid-Low,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Misc Business,2004,AR,JAN,JUDY,3,JAN JUDY,D,3500,0.020394488,171615,0,103158,0.3809,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,527739,0.325189156,Very Low,Mid-Low,7,18,Materials,994.347645,Values0506b,0.30380417,2004
Misc Communications/Electronics,2004,AR,JAN,JUDY,3,JAN JUDY,D,4000,0.023307986,171615,0,103158,0.3809,Telecommunication Services,Consumer Discretionary,,,0,527739,0.325189156,Very Low,Mid-Low,6,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Air Transport,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,38925,0.109764145,354624,1,160629,0.5932,Industrials,,,,1,527739,0.67196853,Very Low,Mid-High,6,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Oil & Gas,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,10050,0.028339875,354624,1,160629,0.5932,Energy,,,,1,527739,0.67196853,Very Low,Mid-High,9,13,Energy,1348.010537,Values0506b,0.628528397,2004
Crop Production & Basic Processing,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,41226,0.116252707,354624,1,160629,0.5932,Consumer Staples,,,,1,527739,0.67196853,Very Low,Mid-High,5,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Misc Manufacturing & Distributing,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,43250,0.121960161,354624,1,160629,0.5932,Consumer Discretionary,Materials,Consumer Staples,Industrials,1,527739,0.67196853,Very Low,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Accountants,2004,AZ,RICK,RENZI,1,RICK RENZI,R,356269,0.252472146,1411122,1,148315,0.5854,Financials,,,,1,2257735,0.625016665,High,Mid-High,2,14,Financials,5555.739999,Values0506b,0.351064506,2004
Crop Production & Basic Processing,2004,AZ,PAUL,BABBITT,1,PAUL BABBITT,D,16200,0.019135071,846613,0,91776,0.3622,Consumer Staples,,,,0,2257735,0.374983335,Mid-Low,Mid-Low,5,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Air Transport,2004,AZ,RICK,RENZI,1,RICK RENZI,R,34887,0.02472288,1411122,1,148315,0.5854,Industrials,,,,1,2257735,0.625016665,High,Mid-High,6,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Business Services,2004,AZ,PAUL,BABBITT,1,PAUL BABBITT,D,33299,0.039332021,846613,0,91776,0.3622,Consumer Discretionary,Industrials,,,0,2257735,0.374983335,Mid-Low,Mid-Low,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Mining,2004,AZ,RICK,RENZI,1,RICK RENZI,R,30500,0.021614006,1411122,1,148315,0.5854,Materials,,,,1,2257735,0.625016665,High,Mid-High,7,18,Materials,994.347645,Values0506b,0.30380417,2004
Automotive,2004,AZ,RICK,RENZI,1,RICK RENZI,R,156682,0.111033631,1411122,1,148315,0.5854,Consumer Discretionary,,,,1,2257735,0.625016665,High,Mid-High,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Misc Finance,2004,AZ,PAUL,BABBITT,1,PAUL BABBITT,D,16250,0.01919413,846613,0,91776,0.3622,Financials,,,,0,2257735,0.374983335,Mid-Low,Mid-Low,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Misc Business,2004,AZ,PAUL,BABBITT,1,PAUL BABBITT,D,15975,0.018869306,846613,0,91776,0.3622,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,2257735,0.374983335,Mid-Low,Mid-Low,6,18,Materials,994.347645,Values0506b,0.30380417,2004
Food & Beverage,2004,AZ,RICK,RENZI,1,RICK RENZI,R,29750,0.021082514,1411122,1,148315,0.5854,Consumer Staples,,,,1,2257735,0.625016665,High,Mid-High,8,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Oil & Gas,2004,AZ,RICK,RENZI,1,RICK RENZI,R,65895,0.046696884,1411122,1,148315,0.5854,Energy,,,,1,2257735,0.625016665,High,Mid-High,5,13,Energy,1348.010537,Values0506b,0.628528397,2004
Construction Services,2004,AZ,RANDY,CAMACHO,2,RANDY CAMACHO,D,250,0.00349406,71550,0,107406,0.3846,Industrials,,,,0,485262,0.147446122,Very Low,Mid-Low,5,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Insurance,2004,AZ,TRENT,FRANKS,2,TRENT FRANKS,R,18750,0.045321383,413712,1,165260,0.5917,Financials,,,,1,485262,0.852553878,Very Low,Mid-High,8,14,Financials,5555.739999,Values0506b,0.351064506,2004
Oil & Gas,2004,AZ,TRENT,FRANKS,2,TRENT FRANKS,R,21000,0.050759949,413712,1,165260,0.5917,Energy,,,,1,485262,0.852553878,Very Low,Mid-High,6,13,Energy,1348.010537,Values0506b,0.628528397,2004
Electric Utilities,2004,AZ,TRENT,FRANKS,2,TRENT FRANKS,R,19000,0.045925668,413712,1,165260,0.5917,Utilities,,,,1,485262,0.852553878,Very Low,Mid-High,7,20,Utilities,846.831177,Values0506b,0.387572063,2004
Mining,2004,AZ,TRENT,FRANKS,2,TRENT FRANKS,R,11000,0.026588545,413712,1,165260,0.5917,Materials,,,,1,485262,0.852553878,Very Low,Mid-High,9,18,Materials,994.347645,Values0506b,0.30380417,2004
Automotive,2004,AZ,TRENT,FRANKS,2,TRENT FRANKS,R,57050,0.137897861,413712,1,165260,0.5917,Consumer Discretionary,,,,1,485262,0.852553878,Very Low,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Crop Production & Basic Processing,2004,AZ,RANDY,CAMACHO,2,RANDY CAMACHO,D,1850,0.025856045,71550,0,107406,0.3846,Consumer Staples,,,,0,485262,0.147446122,Very Low,Mid-Low,4,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
