KEY,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,YEAR,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AL|1|Jo|Bonner|2004,AL,1,H2AL01077,TRUE,Jo,Bonner,R,2004,nan,nan,nan,nan,161067,0.6312
AL|1|Judy|Belk|2004,AL,1,H2AL01119,FALSE,Judy,Belk,D,2004,nan,nan,nan,nan,93938,0.3681
AL|2|Terry|Everett|2004,AL,2,H2AL02067,TRUE,Terry,Everett,R,2004,nan,nan,nan,nan,177086,0.7142
AL|2|Charles D. (Chuck)|James|2004,AL,2,H4AL02063,FALSE,Charles D. (Chuck),James,D,2004,nan,nan,nan,nan,70562,0.2846
AL|3|Mike|Rogers|2004,AL,3,H2AL03032,TRUE,Mike,Rogers,R,2004,nan,nan,nan,nan,150411,0.612
AL|3|Bill|Fuller|2004,AL,3,H4AL03046 ,FALSE,Bill,Fuller,D,2004,nan,nan,nan,nan,95240,0.3875
AL|4|Robert|Aderholt|2004,AL,4,H6AL04098,TRUE,Robert,Aderholt,R,2004,nan,nan,nan,nan,191110,0.7473
AL|4|Carl|Cole|2004,AL,4,H4AL04028,FALSE,Carl,Cole,D,2004,nan,nan,nan,nan,64278,0.2514
AL|5|Bud|Cramer|2004,AL,5,H0AL05049,TRUE,Bud,Cramer,D,2004,37573,0.8953,nan,nan,200999,0.7297
"AL|5|Michael ""People First""|Williams|2004",AL,5,H2AL05078,FALSE,"Michael ""People First""",Williams,D,2004,4393,0.1047,nan,nan,nan,nan
AL|5|Gerald (Gerry)|Wallace|2004,AL,5,H4AL05066,FALSE,Gerald (Gerry),Wallace,R,2004,6742,0.4518,2371,0.5268,74145,0.2692
AL|5|Stephen P.|Engel|2004,AL,5,H2AL05060,FALSE,Stephen P.,Engel,R,2004,6007,0.4025,2130,0.4732,nan,nan
AL|5|Nate|Bailie|2004,AL,5,H4AL05058,FALSE,Nate,Bailie,R,2004,2175,0.1457,nan,nan,nan,nan
AL|6|Spencer|Bachus|2004,AL,6,H2AL06035,TRUE,Spencer,Bachus,R,2004,45448,0.8665,nan,nan,264819,0.988
AL|6|Phillip|Jauregui|2004,AL,6,H4AL06064,FALSE,Phillip,Jauregui,R,2004,7000,0.1335,nan,nan,nan,nan
AL|7|Artur|Davis|2004,AL,7,H0AL07060,TRUE,Artur,Davis,D,2004,58193,0.8783,nan,nan,183408,0.7497
AL|7|Albert|Turner|2004,AL,7,H4AL07054,FALSE,Albert,Turner,D,2004,8061,0.1217,nan,nan,nan,nan
AL|7|Steve F.|Cameron|2004,AL,7,H4AL07062,FALSE,Steve F.,Cameron,R,2004,nan,nan,nan,nan,61019,0.2494
AL|S|Richard|Shelby|2004,AL,S,S6AL00013,TRUE,Richard,Shelby,R,2004,nan,nan,nan,nan,1242200,0.6755
AL|S|Wayne |Sowell|2004,AL,S,S2AL00087,FALSE,Wayne ,Sowell,D,2004,nan,nan,nan,nan,595018,0.3235
AK|0|Don E.|Young|2004,AK,0,H4AK00065,TRUE,Don E.,Young,R,2004,70142,1,nan,nan,213216,0.7107
AK|0|Thomas M.|Higgins|2004,AK,0,H4AK00081,FALSE,Thomas M.,Higgins,D,2004,14109,0.4764,nan,nan,67074,0.2236
AK|0|Frank|Vondersaar|2004,AK,0,H4AK00057,FALSE,Frank,Vondersaar,D,2004,9025,0.3048,nan,nan,nan,nan
AK|0|Dae|Miles|2004,AK,0,H0AK00063,FALSE,Dae,Miles,D,2004,6479,0.2188,nan,nan,nan,nan
AK|0|Timothy A.|Feller|2004,AK,0,H4AK00099,FALSE,Timothy A.,Feller,GRN,2004,7490,1,nan,nan,11434,0.0381
AK|0|Alvin A.|Anders|2004,AK,0,H6AK00045,FALSE,Alvin A.,Anders,LBT,2004,4147,1,nan,nan,7157,0.0239
AK|S|Lisa|Murkowski|2004,AK,S,S4AK00099,TRUE,Lisa,Murkowski,R,2004,45710,0.5813,nan,nan,149773,0.4858
AK|S|Mike|Miller|2004,AK,S,S4AK00131,FALSE,Mike,Miller,R,2004,29313,0.3728,nan,nan,nan,nan
AK|S|Wev|Shea|2004,AK,S,S4AK00156,FALSE,Wev,Shea,R,2004,2857,0.0363,nan,nan,nan,nan
AK|S|Jim|Dore|2004,AK,S,S2AK00069,FALSE,Jim,Dore,R,2004,748,0.0095,nan,nan,nan,nan
AK|S|Tony|Knowles|2004,AK,S,S4AK00107,FALSE,Tony,Knowles,D,2004,40881,0.9506,nan,nan,140424,0.4555
AK|S|Don R.|Wright|2004,AK,S,S4AK00149,FALSE,Don R.,Wright,D,2004,1080,0.0251,nan,nan,nan,nan
AK|S|Theresa Nangle|Obermeyer|2004,AK,S,S6AK00102,FALSE,Theresa Nangle,Obermeyer,D,2004,1045,0.0243,nan,nan,nan,nan
AK|S|Marc J.|Millican|2004,AK,S,H4AK00115,FALSE,Marc J.,Millican,N,2004,nan,nan,nan,nan,8885,0.0288
AK|S|Jerry |Sanders|2004,AK,S,S4AK00172,FALSE,Jerry ,Sanders,AKI,2004,1953,0.7958,nan,nan,3785,0.0123
AK|S|Daniel|DeNardo|2004,AK,S,S4AK00164,FALSE,Daniel,DeNardo,AKI,2004,501,0.2042,nan,nan,nan,nan
AK|S|Jim|Sykes|2004,AK,S,S4AK00093,FALSE,Jim,Sykes,GRN,2004,2868,1,nan,nan,3053,0.0099
AK|S|Scott A.|Kohlhaas|2004,AK,S,S8AK00066,FALSE,Scott A.,Kohlhaas,LBT,2004,775,1,nan,nan,1240,0.004
"AK|S|Ted ""Big""|Gianoutsos|2004",AK,S,S4AK00115,FALSE,"Ted ""Big""",Gianoutsos,N,2004,nan,nan,nan,nan,732,0.0024
AS|0|Eni F.H.|Faleomavaega|2004,AS,0,H0AS00018,TRUE,Eni F.H.,Faleomavaega,D,2004,nan,nan,nan,nan,6656,0.5488
AS|0|Amata Aumua|Coleman|2004,AS,0,H4AS00036,FALSE,Amata Aumua,Coleman,R,2004,nan,nan,nan,nan,5472,0.4512
AZ|1|Rick|Renzi|2004,AZ,1,H2AZ01172,TRUE,Rick,Renzi,R,2004,36723,1,nan,nan,148315,0.5854
AZ|1|Paul|Babbitt|2004,AZ,1,H4AZ01111,FALSE,Paul,Babbitt,D,2004,35422,0.7372,nan,nan,91776,0.3622
AZ|1|Bob|Donahue|2004,AZ,1,H4AZ01129,FALSE,Bob,Donahue,D,2004,12629,0.2628,nan,nan,nan,nan
AZ|1|John|Crockett|2004,AZ,1,H4AZ01137,FALSE,John,Crockett,LBT,2004,505,1,nan,nan,13260,0.0523
AZ|2|Trent|Franks|2004,AZ,2,H4AZ04024,TRUE,Trent,Franks,R,2004,45261,0.6363,nan,nan,165260,0.5917
AZ|2|Rick L.|Murphy|2004,AZ,2,H4AZ02093,FALSE,Rick L.,Murphy,R,2004,25871,0.3637,nan,nan,nan,nan
AZ|2|Randy|Camacho|2004,AZ,2,H2AZ02220,FALSE,Randy,Camacho,D,2004,12833,0.5268,nan,nan,107406,0.3846
AZ|2|Gene|Scharer|2004,AZ,2,H0AZ03248,FALSE,Gene,Scharer,D,2004,5875,0.2412,nan,nan,nan,nan
AZ|2|Larry|Coor|2004,AZ,2,H4AZ02101,FALSE,Larry,Coor,D,2004,5652,0.232,nan,nan,nan,nan
AZ|2|Powell|Gammill|2004,AZ,2,H4AZ02119,FALSE,Powell,Gammill,LBT,2004,365,1,nan,nan,6625,0.0237
AZ|2|William|Crum|2004,AZ,2,H2AZ02246,FALSE,William,Crum,W,2004,nan,nan,nan,nan,12,0
AZ|3|John|Shadegg|2004,AZ,3,H4AZ04016,TRUE,John,Shadegg,R,2004,43552,1,nan,nan,181012,0.801
AZ|3|Mark|Yannone|2004,AZ,3,H4AZ04073,FALSE,Mark,Yannone,LBT,2004,337,1,nan,nan,44962,0.199
AZ|4|Ed|Pastor|2004,AZ,4,H2AZ02055,TRUE,Ed,Pastor,D,2004,15201,1,nan,nan,77150,0.7012
AZ|4|Don|Karg|2004,AZ,4,H2AZ04101,FALSE,Don,Karg,R,2004,8854,1,nan,nan,28238,0.2566
AZ|4|Gary|Fallon|2004,AZ,4,H4AZ04081,FALSE,Gary,Fallon,LBT,2004,235,1,nan,nan,4639,0.0422
AZ|5|J. D.|Hayworth|2004,AZ,5,H4AZ06052,TRUE,J. D.,Hayworth,R,2004,43166,0.7926,nan,nan,159455,0.595
AZ|5|Roselyn|O'Connell|2004,AZ,5,H4AZ05054,FALSE,Roselyn,O'Connell,R,2004,11296,0.2074,nan,nan,nan,nan
AZ|5|Elizabeth|Rogers|2004,AZ,5,H4AZ05047,FALSE,Elizabeth,Rogers,D,2004,11362,0.6951,nan,nan,102363,0.3819
AZ|5|Ronald|Maynard|2004,AZ,5,H2AZ05116,FALSE,Ronald,Maynard,D,2004,4985,0.3049,nan,nan,nan,nan
AZ|5|Michael|Kielsky|2004,AZ,5,H4AZ05062 ,FALSE,Michael,Kielsky,LBT,2004,330,1,nan,nan,6189,0.0231
AZ|6|Jeff|Flake|2004,AZ,6,H0AZ01184,TRUE,Jeff,Flake,R,2004,33784,0.593,nan,nan,202882,0.7938
AZ|6|Stan|Barnes|2004,AZ,6,H4AZ06086,FALSE,Stan,Barnes,R,2004,23186,0.407,nan,nan,nan,nan
AZ|6|Craig|Stritar|2004,AZ,6,H4AZ06094,FALSE,Craig,Stritar,LBT,2004,272,1,nan,nan,52695,0.2062
AZ|7|RaÒl|Grijalva|2004,AZ,7,H2AZ07070,TRUE,RaÒl,Grijalva,D,2004,26450,1,nan,nan,108868,0.6206
AZ|7|Joseph|Sweeney|2004,AZ,7,H4AZ02010,FALSE,Joseph,Sweeney,R,2004,11990,0.7013,nan,nan,59066,0.3367
AZ|7|Lou|Mu_oz|2004,AZ,7,H4AZ07019,FALSE,Lou,Mu_oz,R,2004,5107,0.2987,nan,nan,nan,nan
AZ|7|Dave|Kaplan|2004,AZ,7,H4AZ07027,FALSE,Dave,Kaplan,LBT,2004,294,1,nan,nan,7503,0.0428
AZ|8|Jim|Kolbe|2004,AZ,8,H2AZ02014,TRUE,Jim,Kolbe,R,2004,36039,0.5746,nan,nan,183363,0.6036
AZ|8|Randy|Graf|2004,AZ,8,H4AZ08017,FALSE,Randy,Graf,R,2004,26686,0.4254,nan,nan,nan,nan
AZ|8|Eva|Bacal|2004,AZ,8,H4AZ08058,FALSE,Eva,Bacal,D,2004,20216,0.5862,nan,nan,109963,0.362
AZ|8|Tim|Sultan|2004,AZ,8,H4AZ08033,FALSE,Tim,Sultan,D,2004,9177,0.2661,nan,nan,nan,nan
"AZ|8|Jeffrey ""Jeff""|Chimene|2004",AZ,8,H4AZ08041,FALSE,"Jeffrey ""Jeff""",Chimene,D,2004,5093,0.1477,nan,nan,nan,nan
AZ|8|Robert|Anderson|2004,AZ,8,H6AZ06024,FALSE,Robert,Anderson,LBT,2004,385,1,nan,nan,10443,0.0344
AZ|S|John|McCain|2004,AZ,S,S6AZ00019,TRUE,John,McCain,R,2004,331720,1,nan,nan,1505372,0.7674
AZ|S|Stuart |Starky|2004,AZ,S,S0AZ00152,FALSE,Stuart ,Starky,D,2004,173540,1,nan,nan,404507,0.2062
AZ|S|Ernest|Hancock|2004,AZ,S,S4AZ00121,FALSE,Ernest,Hancock,LBT,2004,2756,1,nan,nan,51798,0.0264
AR|1|Marion|Berry|2004,AR,1,H6AR01072,TRUE,Marion,Berry,D,2004,nan,nan,nan,nan,162388,0.6657
AR|1|Vernon|Humphrey|2004,AR,1,H4AR01044,FALSE,Vernon,Humphrey,R,2004,nan,nan,nan,nan,81556,0.3343
AR|2|Vic|Synder|2004,AR,2,H6AR02203,TRUE,Vic,Synder,D,2004,nan,nan,nan,nan,160834,0.5817
AR|2|Marvin|Parks|2004,AR,2,H4AR02117,FALSE,Marvin,Parks,R,2004,11590,0.6921,nan,nan,115655,0.4183
AR|2|Ed|Garner|2004,AR,2,H2AR02046,FALSE,Ed,Garner,R,2004,5156,0.3079,nan,nan,nan,nan
AR|2|William|Gabriel|2004,AR,2,H4AR02125,FALSE,William,Gabriel,W,2004,nan,nan,nan,nan,4,0
AR|3|John|Boozman|2004,AR,3,H2AR03176,TRUE,John,Boozman,R,2004,nan,nan,nan,nan,160629,0.5932
AR|3|Jan|Judy|2004,AR,3,H4AR03024,FALSE,Jan,Judy,D,2004,nan,nan,nan,nan,103158,0.3809
AR|3|Dale|Morfey|2004,AR,3,H4AR03032,FALSE,Dale,Morfey,I,2004,nan,nan,nan,nan,7016,0.0259
AR|4|Mike|Ross|2004,AR,4,H0AR04038,TRUE,Mike,Ross,D,2004,nan,nan,nan,nan,nan,nan
AR|S|Blanche L.|Lincoln|2004,AR,S,S8AR00112,TRUE,Blanche L.,Lincoln,D,2004,231037,0.8309,nan,nan,580973,0.559
AR|S|Lisa|Burks|2004,AR,S,S4AR00061,FALSE,Lisa,Burks,D,2004,47010,0.1691,nan,nan,nan,nan
AR|S|Jim|Holt|2004,AR,S,S4AR00046,FALSE,Jim,Holt,R,2004,37254,0.6894,nan,nan,458036,0.4407
AR|S|Andy|Lee|2004,AR,S,S4AR00053,FALSE,Andy,Lee,R,2004,10709,0.1982,nan,nan,nan,nan
AR|S|Rosemarie|Clampitt|2004,AR,S,S4AR00079,FALSE,Rosemarie,Clampitt,R,2004,6078,0.1125,nan,nan,nan,nan
AR|S|Glenn|Schwarz|2004,AR,S,S4AR00095,FALSE,Glenn,Schwarz,W,2004,nan,nan,nan,nan,212,0.0002
AR|S|Gene|Mason|2004,AR,S,S4AR00087,FALSE,Gene,Mason,W,2004,nan,nan,nan,nan,128,0.0001
CA|1|Mike|Thompson|2004,CA,1,H8CA01109,TRUE,Mike,Thompson,D,2004,92371,1,nan,nan,189366,0.6692
CA|1|Lawrence R.|Wiesner|2004,CA,1,H0CA01106,FALSE,Lawrence R.,Wiesner,R,2004,48710,1,nan,nan,79970,0.2826
CA|1|Pamela|Elizondo|2004,CA,1,H0CA01130,FALSE,Pamela,Elizondo,GRN,2004,2365,0.5461,nan,nan,13635,0.0482
CA|1|Bill|Meyers|2004,CA,1,H4CA01058,FALSE,Bill,Meyers,GRN,2004,1966,0.4539,nan,nan,nan,nan
CA|2|Wally|Herger|2004,CA,2,H6CA02010,TRUE,Wally,Herger,R,2004,79923,1,nan,nan,182119,0.6685
CA|2|Mike|Johnson|2004,CA,2,H2CA02068,FALSE,Mike,Johnson,D,2004,20760,0.4426,nan,nan,90310,0.3315
CA|2|A.J.|Sekhon|2004,CA,2,H4CA02072,FALSE,A.J.,Sekhon,D,2004,14246,0.3037,nan,nan,nan,nan
CA|2|Jeffrey |Vance|2004,CA,2,H4CA02080,FALSE,Jeffrey ,Vance,D,2004,11897,0.2537,nan,nan,nan,nan
CA|3|Dan|Lungren|2004,CA,3,H6CA34112,FALSE,Dan,Lungren,R,2004,35595,0.3891,nan,nan,177738,0.6191
CA|3|Rico|Oller|2004,CA,3,H4CA03070,FALSE,Rico,Oller,R,2004,32728,0.3577,nan,nan,nan,nan
CA|3|Mary|Ose|2004,CA,3,H4CA03088,FALSE,Mary,Ose,R,2004,21469,0.2347,nan,nan,nan,nan
CA|3|Richard|Frankhuizen|2004,CA,3,H2CA05061,FALSE,Richard,Frankhuizen,R,2004,1693,0.0185,nan,nan,nan,nan
CA|3|Gabe|Castillo|2004,CA,3,H4CA03062,FALSE,Gabe,Castillo,D,2004,51155,1,nan,nan,100025,0.3484
CA|3|Douglas Arthur|Tuma|2004,CA,3,H8CA05134,FALSE,Douglas Arthur,Tuma,LBT,2004,634,1,nan,nan,9310,0.0324
CA|4|John T.|Doolittle|2004,CA,4,H0CA14042,TRUE,John T.,Doolittle,R,2004,105015,1,nan,nan,221926,0.6539
CA|4|David I.|Winters|2004,CA,4,H4CA04078,FALSE,David I.,Winters,D,2004,58036,1,nan,nan,117443,0.3461
CA|5|Robert T.|Matsui|2004,CA,5,H8CA03014,TRUE,Robert T.,Matsui,D,2004,63291,0.9998,nan,nan,138004,0.7136
CA|5|Pat|Driscoll|2004,CA,5,H4CA05232,FALSE,Pat,Driscoll,W(D),2004,11,0.0002,nan,nan,nan,nan
CA|5|Mike |Dugas |2004,CA,5,H4CA05224,FALSE,Mike ,Dugas ,R,2004,26674,1,nan,nan,45120,0.2333
CA|5|Pat|Driscoll|2004,CA,5,H4CA05232,FALSE,Pat,Driscoll,GRN,2004,1041,1,nan,nan,6593,0.0341
CA|5|John C.|Reiger|2004,CA,5,H4CA05240,FALSE,John C.,Reiger,PFP,2004,215,1,nan,nan,3670,0.019
CA|6|Lynn|Woolsey|2004,CA,6,H2CA01045,TRUE,Lynn,Woolsey,D,2004,99970,0.84,nan,nan,226423,0.7265
CA|6|Renn|Vara|2004,CA,6,H4CA06107,FALSE,Renn,Vara,D,2004,19039,0.16,nan,nan,nan,nan
CA|6|Paul L.|Erickson|2004,CA,6,H2CA06234,FALSE,Paul L.,Erickson,R,2004,43248,1,nan,nan,85244,0.2735
CA|7|George|Miller|2004,CA,7,H6CA07043,TRUE,George,Miller,D,2004,71268,1,nan,nan,166831,0.7608
CA|7|Charles|Hargrave|2004,CA,7,H2CA07091,FALSE,Charles,Hargrave,R,2004,23900,1,nan,nan,52446,0.2392
