ID,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,CANDTOTAL,WINNER,RaceFundPerc
DONYOUNG2004AK1,2004,AK,DON,YOUNG,1,DON YOUNG,R,1531159,1,1
JOBONNER2004AL1,2004,AL,JO,BONNER,1,JO BONNER,R,712727,1,0.838465855
JUDYBELK2004AL1,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,137310,0,0.161534145
TERRYEVERETT2004AL2,2004,AL,TERRY,EVERETT,2,TERRY EVERETT,R,496900,1,0.999396621
BILLFULLER2004AL3,2004,AL,BILL,FULLER,3,BILL FULLER,D,221822,0,0.149609321
MIKEROGERS2004AL3,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,1260853,1,0.850390679
CARLCOLE2004AL4,2004,AL,CARL,COLE,4,CARL ALLEN COLE III,D,18400,0,0.045050008
ROBERTADERHOLT2004AL4,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,390035,1,0.954949992
BUDCRAMER2004AL5,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,481124,1,0.983686463
GERALDWALLACE2004AL5,2004,AL,GERALD,WALLACE,5,GERALD WALLACE,R,7979,0,0.016313537
ARTURDAVIS2004AL7,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,666930,1,1
VERNONHUMPHREY2004AR1,2004,AR,VERNON,HUMPHREY,1,VERNON WOODROW HUMPHREY,R,2500,0,0.003653491
MARIONBERRY2004AR1,2004,AR,MARION,BERRY,1,MARION BERRY,D,681777,1,0.996346509
MARVINPARKS2004AR2,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,303140,0,0.396284749
VICSNYDER2004AR2,2004,AR,VIC,SNYDER,2,VIC SNYDER,D,461815,1,0.603715251
JOHNBOOZMAN2004AR3,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,354624,1,0.67196853
JANJUDY2004AR3,2004,AR,JAN,JUDY,3,JAN JUDY,D,171615,0,0.325189156
